phrase_english,phrase_portuguese,topic_portuguese
There's a restaurant near here.,Tem um restaurante aqui perto.,Refeições
"There's a restaurant over there, but I don't think it's very good.",Tem um restaurante alí mas eu não acho que seja muito bom.,Refeições
Waiter!,Garçom!,Refeições
Waitress!,Garçonete!,Refeições
We can eat Italian or Chinese food.,Nós podemos comer comida italiana ou chinesa.,Refeições
We'll have two glasses of water please.,Nós queremos dois copos com água por favor.,Refeições
What are you going to have?,O que você vai querer?,Refeições
What do you recommend?,O que você recomenda?,Refeições
What's your email address?,Qual é o teu endereço eletrônico? (email),Refeições
What would you like to drink?,O que você gostaria de beber?,Refeições
What would you like to eat?,O que você gostaria de comer?,Refeições
Where is an ATM?,Onde tem um caixa eletrônico?,Refeições
Where is there a doctor who speaks English?,Onde tem um médico que fale inglês?,Refeições
Which one?,Qual deles?,Refeições
Would you ask him to come here?,Você pede a ele para vir aqui?,Refeições
Would you like a glass of water?,Você gostaria de um copo com água?,Refeições
Would you like coffee or tea?,Você gostaria de café ou chá?,Refeições
Would you like something to drink?,Você gostaria de algo para beber?,Refeições
Would you like some water?,Você gostaria de um pouco de água?,Refeições
Would you like some wine?,Você gostaria de um pouco de vinho?,Refeições
Would you like to go for a walk?,Você gostaria de fazer um passeio?,Refeições
Would you like to watch TV?,Você gostaria de assistir TV?,Refeições
Are you American?,Você é americano?,Fazendo amigos
Are you coming this evening?,Você vai vir hoje à noite?,Fazendo amigos
Are you free tonight?,Você está livre hoje à noite?,Fazendo amigos
Are you going to take a plane or train?,Você vai pegar um avião ou um trem?,Fazendo amigos
Are you hungry?,Você está com fome?,Fazendo amigos
Are you sure?,Você tem certeza?,Fazendo amigos
Are you working tomorrow?,Você vai trabalhar amanhã?,Fazendo amigos
Business is good.,O negócio é bom,Fazendo amigos
Cheers!,Saúde!,Fazendo amigos
Did it snow yesterday?,Nevou ontem?,Fazendo amigos
Did you get my email?,Você recebeu meu email?,Fazendo amigos
Did you take your medicine?,Você tomou seu remédio?,Fazendo amigos
Do you feel better?,Você está melhor?,Fazendo amigos
Do you go to Florida often?,Você vai frequentemente para a Flórida?,Fazendo amigos
Do you have another one?,Você tem um outro?,Fazendo amigos
Do you know where there's a store that sells towels?,Você sabe onde tem uma loja que vende toalhas?,Fazendo amigos
Do you like it here?,Você gosta daqui?,Fazendo amigos
Do you like the book?,Você gosta deste livro?,Fazendo amigos
Do you need anything?,Você precisa de alguma coisa?,Fazendo amigos
Do you play any sports?,Você pratica algum esporte?,Fazendo amigos
Do you sell medicine? (store),Você vende remédios?,Fazendo amigos
Do you study English?,Você estuda inglês?,Fazendo amigos
Do you want to come with me?,Você quer vir comigo?,Fazendo amigos
Do you want to go with me?,Você quer ir comigo?,Fazendo amigos
Excuse me.,Com licença.,Fazendo amigos
Give me a call.,Me telefona,Fazendo amigos
Has your brother been to California?,O teu irmão já foi à Califórnia?,Fazendo amigos
Have they met her yet?,Você já a encontrou?,Fazendo amigos
Have you done this before?,Você já fez isso antes?,Fazendo amigos
How long have you been here?,Há quanto tempo você está aqui?,Fazendo amigos
How long have you been in America?,Há quanto tempo você está na América?,Fazendo amigos
How long have you lived here?,Há quanto tempo você vive aqui?,Fazendo amigos
How many children do you have?,Quantos filhos você tem?,Fazendo amigos
How many languages do you speak?,Quantos idiomas você fala?,Fazendo amigos
How many people do you have in your family?,Quantas pessoas tem na tua família?,Fazendo amigos
How much would you like?,Quanto você gostaria?,Fazendo amigos
How old are you?,Quantos anos você tem?,Fazendo amigos
I bought a shirt yesterday.,Eu comprei uma camisa ontem.,Fazendo amigos
I don't feel well.,Eu não me sinto bem.,Fazendo amigos
I have pain in my arm.,Eu tenho dor no meu braço.,Fazendo amigos
I have to wash my clothes.,Eu tenho que lavar minhas roupas.,Fazendo amigos
Are you American?,Você é americano?,Fazendo amigos
I have two sisters.,Eu tenho duas irmãs.,Fazendo amigos
I'll tell him you called.,Eu direi a ele que você ligou.,Fazendo amigos
I'm 32.,Eu tenho 32.,Fazendo amigos
"I'm 6'2"".","Eu meço 6'2"" (1.87m)",Fazendo amigos
I'm allergic to seafood.,Eu sou alérgico a frutos do mar.,Fazendo amigos
I'm American.,Eu sou americano.,Fazendo amigos
I'm a size 8.,Meu tamanho é 8 (38),Fazendo amigos
"I'm fine, and you?","Eu estou bem, e você?",Fazendo amigos
I'm not afraid.,Eu não estou com medo.,Fazendo amigos
I'm sick.,Eu estou doente.,Fazendo amigos
I remember.,Eu me lembro.,Fazendo amigos
I speak a little English.,Eu falo um pouco de inglês.,Fazendo amigos
Is your house like this one?,A tua casa é como esta?,Fazendo amigos
Is your husband also from Boston?,O teu marido também é de Boston?,Fazendo amigos
It's not very expensive.,Não é muito caro.,Fazendo amigos
I've been there.,Eu já estive lá.,Fazendo amigos
Let's share.,Vamos dividir.,Fazendo amigos
My daughter is here.,Minha filha está aqui.,Fazendo amigos
My father has been there.,Meu pai já esteve lá.,Fazendo amigos
My father is a lawyer.,Meu pai é advogado.,Fazendo amigos
My grandmother passed away last year.,Meu/Minha avô/avó morreu no ano passado.,Fazendo amigos
My name is John Smith.,Meu nome é John Smith.,Fazendo amigos
My son.,Meu filho.,Fazendo amigos
My son studies computers.,Me filho estuda computação.,Fazendo amigos
"No, I'm American.","Não, eu sou americano.",Fazendo amigos
"No, this is the first time.","Não, esta é a primeira vez.",Fazendo amigos
Our children are in America.,Nossos filhos estão nos Estados Unidos.,Fazendo amigos
She's an expert.,Ela é uma especialista/perita.,Fazendo amigos
She's older than me.,Ela é mais velha que eu.,Fazendo amigos
That car is similar to my car.,Aquele carro parece o meu.,Fazendo amigos
This is Mrs. Smith.,Esta é a Sra. Smith.,Fazendo amigos
This is my mother.,Esta é a minha mãe.,Fazendo amigos
This is the first time I've been here.,Esta é a primeira vez que eu venho aqui.,Fazendo amigos
We have two boys and one girl.,Nós temos dois garotos e uma garota.,Fazendo amigos
What are you going to do tonight?,O que você vai fazer hoje à noite?,Fazendo amigos
What are your hobbies?,Quais são os teus passsatempos?,Fazendo amigos
What do you study?,O que você estuda?,Fazendo amigos
What do you want to do?,O que você quer fazer?,Fazendo amigos
What school did you go to?,Em que escola você foi?,Fazendo amigos
What's your favorite movie?,Qual é o teu filme favorito?,Fazendo amigos
What's your last name?,Qual é o teu sobrenome?,Fazendo amigos
What's your name?,Qual é o teu nome?,Fazendo amigos
Where are the t-shirts?,Onde estão as camisetas?,Fazendo amigos
Where did you go?,Onde você foi?,Fazendo amigos
Where did you learn English?,Onde você aprendeu inglês?,Fazendo amigos
Where did you work before you worked here?,Onde você trabalhou antes daqui?,Fazendo amigos
Where do you live?,Onde você mora?,Fazendo amigos
Where were you?,Onde você estava?,Fazendo amigos
Who sent this letter?,Quem mandou esta carta?,Fazendo amigos
Would you like to buy this?,Você gostaria de comprar isto?,Fazendo amigos
Your children are very well behaved.,Teus filhos se comportam muito bem.,Fazendo amigos
Your daughter.,Sua filha.,Fazendo amigos
You're smarter than him.,Você é mais esperto/a que ele.,Fazendo amigos
You speak English very well.,Você fala inglês muito bem.,Fazendo amigos
Are there any concerts?,Tem algum show?,Se divertindo
Do you want to go to the movies?,Você quer ir ao cinema?,Se divertindo
Have you seen this movie?,Você já assistiu este filme?,Se divertindo
He said you like to watch movies.,Ele disse que você gosta de assistir filmes.,Se divertindo
How tall are you?,Quanto você mede?,Se divertindo
Is the bank far?,O banco é longe?,Se divertindo
Is there a movie theater nearby?,Tem um cinema por aqui?,Se divertindo
What do people usually do in the summer in Los Angeles?,O que as pessoas geralmente fazem no verão em Los Angeles?,Se divertindo
What kind of music do you like?,Que tipo de música você gosta?,Se divertindo
What's your favorite food?,Qual é a tua comida favorita?,Compras
What time does the movie start?,A que horas o filme começa?,Compras
Who was your teacher?,Quer foi teu professor/tua professora?,Compras
Would you like to have dinner with me?,Você gostaria de jantar comigo?,Compras
Would you like to rent a movie?,Você gostaria de alugar um filme?,Compras
Can I have a glass of water please?,Posso ter um copo com água por favor?,Compras
Can I use your phone?,Posso usar teu telefone?,Compras
Do you have the number for a taxi?,Você tem um telefone de um táxi?,Compras
Do you know her?,Você a conhece?,Compras
Do you know where she is?,Você sabe onde ela está?,Compras
Do you play basketball?,Você joga basquete?,Compras
"Fill it up, please.",Encha o tanque por favor.,Compras
He needs some new clothes.,Ele precisa de roupas novas.,Compras
How much is that?,Quanto custa isso?,Compras
How much is this?,Quanto custa isto?,Compras
I believe you.,Eu acredito em você.,Compras
I'd like the number for the Hilton Hotel please.,"Eu gostaria do telefone do Hotel Hilton, por favor.",Compras
I'd like to buy a phone card please.,"Eu gostaria de comprar um cartão telefônico, por favor.",Compras
I'd like to go home.,Eu gostaria de ir para casa.,Compras
I'd like to go shopping.,Eu gostaria de ir às compras.,Compras
If you like it I can buy more.,Se você gosta eu posso comprar mais.,Compras
I'm a beginner.,Eu sou iniciante.,Compras
I'm full.,Eu estou satisfeito.,Compras
I'm just kidding.,Estou só brincando.,Compras
I'm single.,Eu sou solteiro.,Compras
I speak two languages.,Eu falo dois idiomas.,Compras
I thought he said something else.,Eu pensei que ele disse outra coisa.,Compras
It's not too far.,Não é muito longe.,Compras
I usually drink coffee at breakfast.,Eu geralmente tomo um cafezinho no café da manhã.,Compras
"Sorry, we don't have any.","Desculpe, nós não temos nenhum/a",Compras
The books are expensive.,Os livros são caros.,Compras
Try it on.,Prove-o.,Compras
What do you want to buy?,O que você quer comprar?,Compras
What size?,Que tamanho?,Compras
What time does the store open?,A que horas a loja abre?,Compras
When does the plane arrive?,Quando chega o avião?,Compras
Where are you?,Onde está você?,Compras
Would you like something to eat?,Você gostaria de algo para comer?,Compras
Am I pronouncing it correctly?,E estou pronunciando corretamente?,Dificuldades na comunicação
Can you do me a favor?,Você pode me fazer um favor?,Dificuldades na comunicação
Can you help me?,Você pode me ajudar?,Dificuldades na comunicação
Can you please say that again?,Você pode dizer isso novamente por favor?,Dificuldades na comunicação
Can you show me?,Você pode me mostrar?,Dificuldades na comunicação
Can you throw that away for me?,Você pode jogar isso fora pra mim?,Dificuldades na comunicação
Does anyone here speak English?,Alguém fala inglês?,Dificuldades na comunicação
Don't do that.,Não faça isso.,Dificuldades na comunicação
Do you believe that?,Você acredita nisso?,Dificuldades na comunicação
Do you have a pencil?,Você tem um lápis?,Dificuldades na comunicação
Do you smoke?,Você fuma?,Dificuldades na comunicação
Do you speak English?,Você fala inglês?,Dificuldades na comunicação
"Excuse me, what did you say?","Desculpe-me, o que você disse?",Dificuldades na comunicação
Forget it.,Esqueça.,Dificuldades na comunicação
How do you pronounce that?,Como você pronuncia isso?,Dificuldades na comunicação
How do you say it in English?,Como você diz isso em inglês?,Dificuldades na comunicação
How do you spell it?,Como você soletra isso?,Dificuldades na comunicação
"How do you spell the word Seattle?""","Como você soletra a palavra ""Seattle""?",Dificuldades na comunicação
I can swim.,Eu sei nadar.,Dificuldades na comunicação
I can't hear you clearly.,Eu não posso te ouvir claramente.,Dificuldades na comunicação
I don't mind.,Eu não me importo.,Dificuldades na comunicação
I don't speak English very well.,Eu não falo inglês muito bem.,Dificuldades na comunicação
I don't think so.,Eu acho que não.,Dificuldades na comunicação
I don't understand what you're saying.,Eu não entendo o que você está dizendo.,Dificuldades na comunicação
Is there air conditioning in the room?,Tem ar condicionado neste quarto?,Dificuldades na comunicação
I think you have too many clothes.,Eu acho que você tem muitas roupas.,Dificuldades na comunicação
I trust you.,Eu confio em você.,Dificuldades na comunicação
I understand now.,Eu compreendo agora.,Dificuldades na comunicação
Let's meet in front of the hotel.,Vamos nos encontrar em frente ao hotel.,Dificuldades na comunicação
Please sit down.,"Por favor, sente-se.",Dificuldades na comunicação
Please speak English.,"Por favor, fale inglês.",Dificuldades na comunicação
Please speak more slowly.,"Por favor, fale mais devagar.",Dificuldades na comunicação
"Sorry, I didn't hear clearly.","Desculpe, eu não ouvi claramente.",Dificuldades na comunicação
That's wrong.,Está errado.,Dificuldades na comunicação
Try to say it.,Tente dizê-lo.,Dificuldades na comunicação
What does this mean?,O que isso significa?,Dificuldades na comunicação
What does this say?,O que isso diz?,Dificuldades na comunicação
What does this word mean?,O que significa esta palavra?,Dificuldades na comunicação
What's the exchange rate?,Qual é a taxa de conversão?,Dificuldades na comunicação
Whose book is that?,De quem é esse livro?,Dificuldades na comunicação
Why aren't you going?,Por que você está indo?,Dificuldades na comunicação
Why are you laughing?,Quem está rindo?,Dificuldades na comunicação
Why did you do that?,Por que você fez isso?,Dificuldades na comunicação
Are you allergic to anything?,Você tem alergia a alguma coisa?,Emergência e saúde
Are you ready?,Você está pronto/a?,Emergência e saúde
Call me.,Me telefona,Emergência e saúde
Did you send me flowers?,Você me mandou flores?,Emergência e saúde
Do you sell batteries?,Você vende pilhas?,Emergência e saúde
I don't care.,Eu não me importo.,Emergência e saúde
I give up.,Eu desisto.,Emergência e saúde
I got in an accident.,Eu sofrí um acidente.,Emergência e saúde
I have a cold.,Eu estou gripado.,Emergência e saúde
I have one in my car.,Eu tenho um/uma no meu carro.,Emergência e saúde
I made this cake.,Eu fiz este bolo.,Emergência e saúde
I'm a teacher.,Eu sou professor/a.,Emergência e saúde
I'm self-employed.,Eu tenho meu próprio negócio.,Emergência e saúde
I still have a lot to do.,Eu ainda tenho muito que fazer.,Emergência e saúde
I still haven't decided.,Eu ainda não decidí.,Emergência e saúde
It depends on the weather.,Depende do tempo.,Emergência e saúde
It's very cold today.,Está muito frio hoje.,Emergência e saúde
My luggage is missing.,Minha bagagem está perdida.,Emergência e saúde
My stomach hurts.,Meu estômago dói.,Emergência e saúde
My throat is sore.,Minha garganta está inflamada.,Emergência e saúde
My watch has been stolen.,Meu relógio foi roubado.,Emergência e saúde
Take this medicine.,Tome este remédio.,Emergência e saúde
The accident happened at the intersection.,O acidente aconteceu no cruzamento.,Emergência e saúde
There has been a car accident.,Houve um acidente de carro.,Emergência e saúde
Where can I exchange U.S. dollars?,Onde posso trocar dólares?,Emergência e saúde
Where do you work?,Onde você trabalha?,Emergência e saúde
Where's the nearest hospital?,Onde fica o hospital mais próximo?,Emergência e saúde
Where's the post office?,Onde fica o correio?,Emergência e saúde
And you?,E você?,Questões gerais
Anything else?,Algo mais? / Mais alguma coisa?,Questões gerais
Are they the same?,Eles são iguais? / São as mesmas coisas?,Questões gerais
Are you afraid?,Você está com medo?,Questões gerais
Are you going to attend their wedding?,Você vai ao casamento deles?,Questões gerais
Are you married?,Você é casado?,Questões gerais
Are you sick?,Você está doente?,Questões gerais
Behind the bank.,Atrás do banco,Questões gerais
Can I borrow some money?,Posso emprestar algum dinheiro?,Questões gerais
Can I have the bill please?,Pode me dar a conta por favor?,Questões gerais
Can you call back later?,Você poderia ligar mais tarde?,Questões gerais
Can you call me back later?,Você poderia me ligar mais tarde?,Questões gerais
Can you carry this for me?,Você pode carregarr isso pra mim?,Questões gerais
Can you fix this?,Você pode consertar isso?,Questões gerais
Can you give me an example?,Você pode me dar um exemplo?,Questões gerais
Can you speak louder please?,Você poderia falar mais alto por favor?,Questões gerais
Can you swim?,Você sabe nadar?,Questões gerais
Does he like the school?,Você gosta da escola?,Questões gerais
Do you accept U.S. Dollars?,Você aceita dólares?,Questões gerais
Do you have a girlfriend?,Você tem namorada?,Questões gerais
Do you have an appointment?,Você tem compromisso?,Questões gerais
Do you have a problem?,Você está com um problema?,Questões gerais
Do you hear that?,Você ouviu isso?,Questões gerais
Do you know how to get to the Marriott Hotel?,Você sabe como chegar no Hotel Marriott?,Questões gerais
Do you know what this means?,Você sabe o que isso significa?,Questões gerais
Do you know where I can get a taxi?,Você sabe onde posso pegar um táxi?,Questões gerais
Do you know where my glasses are?,Você sabe onde estão os meus óculos?,Questões gerais
Do you like your co-workers?,Você gosta dos teus colegas de trabalho?,Questões gerais
Do you need anything else?,Você precisa de mais alguma coisa?,Questões gerais
Do you understand?,Você entende?,Questões gerais
Give me the pen.,Me dê a caneta.,Questões gerais
How do you know?,Como você sabe?,Questões gerais
How is she?,Como ela está?,Questões gerais
How long is it?,Quanto tempo demora?,Questões gerais
How many?,Quantos/quantas,Questões gerais
How much is it?,Quanto custa?,Questões gerais
I have a lot of things to do.,Eu tenho um monte de coisas pra fazer.,Questões gerais
In 30 minutes.,Em 30 minutos.,Questões gerais
Is anyone else coming?,Alguém mais está vindo?,Questões gerais
Is everything ok?,Está tudo OK?,Questões gerais
Is it cold outside?,Está frio lá fora?,Questões gerais
Is it far from here?,É longe daqui?,Questões gerais
Is it hot?,Está quente?,Questões gerais
Is it raining?,Está chovendo?,Questões gerais
Is there anything cheaper?,Tem algo mais barato?,Questões gerais
Is your son here?,O teu filho está aqui?,Questões gerais
Should I wait?,Eu deveria esperar?,Questões gerais
The big one or the small one?,O grande ou o pequeno?,Questões gerais
Were there any problems?,Houve algum problema?,Questões gerais
Were you at the library last night?,Você estava na biblioteca ontem à noite?,Questões gerais
What are you doing?,O que você está fazendo?,Questões gerais
What are you thinking about?,No que você está pensando?,Questões gerais
What are you two talking about?,Sobre o que vocês dois estão falando?,Questões gerais
What did you do last night?,O que você fez ontem à noite?,Questões gerais
What did you do yesterday?,O que você fez ontem?,Questões gerais
What did you think?,O que você achou?,Questões gerais
What do you have?,O que você tem?,Questões gerais
What do you think?,O que você acha?,Questões gerais
What happened?,O que aconteceu?,Questões gerais
What is it?,O que é?,Questões gerais
What is that?,O que é isso?,Questões gerais
What should I wear?,O que eu deveria vestir?,Questões gerais
What's in it?,O que tem nisso?,Questões gerais
What's the temperature?,Qual é a temperatura?,Questões gerais
What's this?,O que é isto?,Questões gerais
What's up?,O que se passa?/O que está acontecendo?,Questões gerais
Where are you from?,De onde você é?,Questões gerais
Where can I rent a car?,Onde posso alugar um carro?,Questões gerais
Where did it happen?,Quando aconteceu?,Questões gerais
Where did you learn it?,Onde você aprendeu?,Questões gerais
Where is he?,Onde ele está?,Questões gerais
Where is he from?,De onde ele é?,Questões gerais
Which is better: the spaghetti or chicken salad?,Qual é melhor: o espaguete ou a salada de frango?,Questões gerais
Which one do you want?,Qual você quer?,Questões gerais
Which one is cheaper?,Qual é mais barato?,Questões gerais
Which one is the best?,Qual é o/a melhor?,Questões gerais
Which school does he go to?,Em qual escola ele vai?,Questões gerais
Who are they?,Quem são eles?,Questões gerais
Who are you looking for?,Quem você está procurando?,Questões gerais
Who is it? (Inquiring about who is on the phone),Quem fala? (perguntando quem está no telefone),Questões gerais
Who's calling?,Quem fala?,Questões gerais
Who's that man over there?,Que é aquele homem alí?,Questões gerais
Who taught you that?,Quem te ensinou isso?,Questões gerais
Why did you say that?,Por que você disse isso?,Questões gerais
Will you pass me the salt please?,Você me passa o sal por favor?,Questões gerais
Will you put this in the car for me?,Você poria isso no carro pra mim?,Questões gerais
Would you ask him to call me back please?,Você pede a ele pra me ligar de volta por favor?,Questões gerais
Yes.,Sim.,Questões gerais
You have a very nice car.,Você tem um carro legal.,Questões gerais
You look like my sister.,Você se parece com minha irmã.,Questões gerais
6 dollars per hour.,6 dólares por hora,Questões gerais
Are you waiting for someone?,Você está esperando alguém?,Questões gerais
Are you working today?,Você trabalha hoje?,Questões gerais
Bring me my shirt please.,Me traga a minha camisa por favor,Questões gerais
Do you like to watch TV?,Você gosta de assistir TV?,Questões gerais
Do you like your boss?,Você gosta do teu chefe?,Questões gerais
Have you finished studying?,Você já acabou de estudar?,Questões gerais
He's an Engineer.,Ele é engenheiro,Questões gerais
He works at a computer company in New York.,Ele trabalha numa empresa em Nova Iorque.,Questões gerais
How long have you worked here?,Há quanto tempo você trabalha aqui?,Questões gerais
How many hours a week do you work?,Quantas horas por semana voce trabalha?,Questões gerais
How much money do you have?,Quanto dinheiro você tem?,Questões gerais
How's the weather?,Como está o tempo?,Questões gerais
How was the trip?,Como foi a viagem?,Questões gerais
I forget.,Eu esqueço.,Questões gerais
I'm good.,Estou bem.,Questões gerais
I'm ready.,Estou pronto.,Questões gerais
I still have a lot of things to buy.,Eu ainda tenho muitas coisas pra comprar.,Questões gerais
I've seen it.,Eu já vi.,Questões gerais
What does he do for work?,No que ele trabalha?,Questões gerais
What does your father do for work?,No que teu pai trabalha?,Questões gerais
What do you do for work?,No que você trabalha?,Questões gerais
What do your parents do for work?,No que teus pais trabalham?,Questões gerais
What's the matter?,Qual é o problema?,Questões gerais
What time do you go to work everyday?,A que horas você vai para o trabalho todos os dias?,Questões gerais
When do you arrive in the U.S.?,Quando você chega nos EUA?,Questões gerais
When do you get off work?,Quando você sai do trabalho?,Questões gerais
Where did you put it?,Onde você colocou?,Questões gerais
Where does it hurt?,Onde doi?,Questões gerais
Where do you want to go?,Onde você quer ir?,Questões gerais
Come here.,Venha aqui.,Questões gerais
Does it often snow in the winter in Massachusetts?,Geralmente neva em Massachussetts?,Questões gerais
Do you think it'll rain today?,Você acha que vai chover hoje?,Questões gerais
Do you think it's going to rain tomorrow?,Você acha que vai chover amanhã?,Questões gerais
How's business?,Como estão os negócios?,Questões gerais
Is it close?,Está fechado?,Questões gerais
Is it possible?,É possível?,Questões gerais
Is it ready?,Está pronto?,Questões gerais
It costs 20 dollars per hour.,Custa 20 dólares por hora.,Questões gerais
It hurts here.,Dói aqui.,Questões gerais
It's far from here.,É longe daqui.,Questões gerais
It's going to be hot today.,Vai ser quente hoje.,Questões gerais
It's north of here.,Fica ao norte daqui.,Questões gerais
It's over there.,É ali pra cima.,Questões gerais
It's raining.,Está chovendo.,Questões gerais
It's too late.,É muito tarde/Tarde demais.,Questões gerais
It's very important.,É muito importante.,Questões gerais
It will arrive shortly.,Vai chegar logo.,Questões gerais
The roads are slippery.,As estradas estão escorregadias.,Questões gerais
What will the weather be like tomorrow?,Como vai estar o tempo amanhã?,Questões gerais